code,name,description
ACCESS_SETTING,Chỉnh sửa cài đặt hệ thống,
VIEW_USER,Xem thông tin thành viên trong hệ thống,
CREATE_USER,Tạo tài khoản thành viên,
UPDATE_USER,Chỉnh sửa thông tin thành viên,
DELETE_USER,Xóa tài khoản thành viên,
VIEW_MEMBER,Xem thông tin bạn đọc,
CREATE_MEMBER,Tạo bạn đọc,
UPDATE_MEMBER,Chỉnh sửa bạn đọc,
DELETE_MEMBER,Xóa bạn đọc,
VIEW_ACCOUNT_PACKAGE,Xem thông tin gói tài khoản,
CREATE_ACCOUNT_PACKAGE,Tạo gói tài khoản,
UPDATE_ACCOUNT_PACKAGE,Chỉnh sửa gói tài khoản,
DELETE_ACCOUNT_PACKAGE,Xóa gói tài khoản,
VIEW_ROLE,Xem danh sách vai trò,
CREATE_ROLE,Tạo vai trò,
UPDATE_ROLE,Chỉnh sửa vai trò,
DELETE_ROLE,Xóa vai trò,
VIEW_PERMISSION,Xem danh sách quyền hạn,
CREATE_PERMISSION,Tạo quyền hạn,
UPDATE_PERMISSION,Chỉnh sửa quyền hạn,
DELETE_PERMISSION,Xóa quyền hạn,
ASSIGN_ROLE_TO_USER,Phân quyền người dùng,
VIEW_BRANCH,Xem thông tin trường,
CREATE_BRANCH,Tạo tài khoản trường,
UPDATE_BRANCH,Chỉnh sửa thông tin trường,
DELETE_BRANCH,Xóa trường,
ASSIGN_BRANCH,Phân quyền trường,
VIEW_PUBLICATION,Xem thông tin ấn phẩm,
CREATE_PUBLICATION,Tạo ấn phẩm,
UPDATE_PUBLICATION,Chỉnh sửa ấn phẩm,
DELETE_PUBLICATION,Xóa ấn phẩm,
BORROW_PUBLICATION,Mượn ấn phẩm,
RETURN_PUBLICATION,Trả ấn phẩm,
EXTEND_BORROWING_PERIOD,Gia hạn thời gian mượn,
CREATE_BORROW_SLIP,Tạo phiếu mượn,
UPDATE_BORROW_SLIP,Chỉnh sửa phiếu mượn,
VIEW_BORROW_SLIP,Xem phiếu mượn,
DELETE_BORROW_SLIP,Xóa phiếu mượn,
VIEW_PUBLISHER,Xem thông tin nhà xuất bản,
CREATE_PUBLISHER,Tạo nhà xuất bản,
UPDATE_PUBLISHER,Chỉnh sửa nhà xuất bản,
DELETE_PUBLISHER,Xóa nhà xuất bản,
VIEW_LANGUAGE,Xem danh sách ngôn ngữ,Có thể xem danh sách ngôn ngữ từ các trường khác
CREATE_LANGUAGE,Tạo ngôn ngữ,
UPDATE_LANGUAGE,Chỉnh sửa ngôn ngữ,
DELETE_LANGUAGE,Xóa ngôn ngữ,
VIEW_AUTHOR,Xem thông tin tác giả,Có thể xem danh sách tác giả từ các trường khác
CREATE_AUTHOR,Tạo tác giả,
UPDATE_AUTHOR,Chỉnh sửa tác giả,
DELETE_AUTHOR,Xóa tác giả,
VIEW_GENRE,Xem thông tin thể loại,Có thể xem danh sách thể loại từ các trường khác
CREATE_GENRE,Tạo thể loại,
UPDATE_GENRE,Chỉnh sửa thể loại,
DELETE_GENRE,Xóa thể loại,
VIEW_CATEGORY,Xem thông tin lĩnh vực ấn phảm,Có thể xem danh sách lĩnh vực ấn phẩm từ các trường khác
CREATE_CATEGORY,Tạo lĩnh vực ấn phẩm,
UPDATE_CATEGORY,Chỉnh sửa lĩnh vực ấn phẩm,
DELETE_CATEGORY,Xóa lĩnh vực ấn phảm,
VIEW_INVENTORY,Xem thông tin kho,
CREATE_INVENTORY,Tạo kho,
UPDATE_INVENTORY,Chỉnh sửa kho,
DELETE_INVENTORY,Xóa kho,
IMPORT_INVENTORY,Nhập kho,
EXPORT_INVENTORY,Xuất kho,
VIEW_CLASS_AND_SCHOOL_YEAR,Xem thông tin lớp học và niên khóa,
CREATE_CLASS_AND_SCHOOL_YEAR,Tạo lớp học và niên khóa,
UPDATE_CLASS_AND_SCHOOL_YEAR,Chỉnh sửa lớp học và niên khóa,
DELETE_CLASS_AND_SCHOOL_YEAR,Xóa lớp học và niên khóa,