branch_code,code,title,author_codes,genre_codes,category_codes,language_codes,publisher_code,photo,slug,published,type,summary,isbn,published_date,publisher_id,file_url,file_size,translator,volume_number,cover_price,page_count
cng,deep-learning-2021,Học Sâu,"goodfellow,bengio,courville","ai,ml",ai,"en,vi",MIT,deep-learning-2021.png,hoc-sau,true,BOTH,"Một giới thiệu toàn diện về học sâu",9780262035613,2016-11-18,5,,0,,1,89.99,775
cng,ai-modern-approach-2020,Trí Tuệ Nhân Tạo,"russell,norvig","ai",ai,"en,vi",Pearson,ai-modern-approach-2020.png,tri-tue-nhan-tao,true,BOTH,"Một cách tiếp cận hiện đại về trí tuệ nhân tạo",9780136042594,2010-12-11,6,,0,,3,99.99,1152
cng,pattern-recognition-2006,Nhận Dạng Mẫu và Học Máy,bishop,"ml",ml,"en,vi",Springer,pattern-recognition-2006.png,nhan-dang-mau,true,BOTH,"Một giới thiệu về nhận dạng mẫu và học máy",9780387310732,2006-08-17,7,,0,,1,84.99,738
cng,cs-intro-2000,Nhập Môn Tin Học,nguyen-a,"cs",cs,"vi",NXBKHXH,nhap-mon-tin-hoc.png,nhap-mon-tin-hoc,true,PRINT,"Một cuốn sách về nhập môn tin học của Việt Nam",9786040000005,2000-01-01,39,,0,,1,29.99,400
cng,cs-c-basic-2005,Lập Trình C Cơ Bản,tran-b,"cs",cs,"vi",NXBKHXH,lap-trinh-c-co-ban.png,lap-trinh-c-co-ban,true,PRINT,"Một cuốn sách về lập trình C cơ bản của Việt Nam",9786040000006,2005-01-01,40,,0,,1,34.99,500
cng,cs-java-2010,Lập Trình Java,le-c,"cs",cs,"vi",NXBKHXH,lap-trinh-java.png,lap-trinh-java,true,BOTH,"Một cuốn sách về lập trình Java của Việt Nam",9786040000007,2010-01-01,41,,0,,1,39.99,600
cng,cs-algorithms-2015,Thuật Toán và Cấu Trúc Dữ Liệu,pham-d,"alg",cs,"vi",NXBKHXH,thuat-toan-va-cau-truc-du-lieu.png,thuat-toan-va-cau-truc-du-lieu,true,BOTH,"Một cuốn sách về thuật toán và cấu trúc dữ liệu của Việt Nam",9786040000008,2015-01-01,42,,0,,1,44.99,700
cng,cs-python-2020,Lập Trình Python,vo-e,"cs",cs,"vi",NXBKHXH,lap-trinh-python.png,lap-trinh-python,true,BOTH,"Một cuốn sách về lập trình Python của Việt Nam",9786040000009,2020-01-01,43,,0,,1,49.99,800
sci,physics-2021,Vật Lý cho Khoa Học và Kỹ Sư,young,"phy",physics,"en,vi",Pearson,vat-ly.png,vat-ly,true,PRINT,"Một hướng dẫn toàn diện về vật lý cho khoa học và kỹ sư",9780321740908,2011-01-01,8,,0,,1,79.99,1320
sci,organic-chemistry-2021,Hóa Học Hữu Cơ,bruice,"chem",chemistry,"en,vi",Pearson,hoa-hoc-huu-co.png,hoa-hoc-huu-co,true,PRINT,"Một giới thiệu về hóa học hữu cơ",9780321803221,2012-01-01,9,,0,,1,89.99,2080
sci,biology-2021,Sinh Học,campbell,"bio",biology,"en,vi",Pearson,sinh-hoc.png,sinh-hoc,true,PRINT,"Một hướng dẫn toàn diện về sinh học",9780321775658,2013-01-01,10,,0,,1,89.99,1464
sci,astronomy-2021,Thiên Văn Học,seeds,"astro",astronomy,"en,vi",Pearson,thien-van-hoc.png,thien-van-hoc,true,PRINT,"Một giới thiệu về thiên văn học",9780321815354,2014-01-01,11,,0,,1,79.99,800
sci,geology-2021,Địa Chất,tarbuck,"geo",geology,"en,vi",Pearson,dia-chat.png,dia-chat,true,PRINT,"Một hướng dẫn toàn diện về địa chất",9780321834737,2015-01-01,12,,0,,1,79.99,720
sci,environmental-science-2021,Khoa Học Môi Trường,miller,"env",environmental-science,"en,vi",Pearson,khoa-hoc-moi-truong.png,khoa-hoc-moi-truong,true,PRINT,"Một giới thiệu về khoa học môi trường",9780321865038,2016-01-01,13,,0,,1,79.99,640
sci,brief-history-of-time-1988,Lược Sử Thời Gian,hawking,"astro",cosmology,"en,vi",Bantam,brief-history-of-time-1988.png,luoc-su-thoi-gian,true,DIGITAL,"Một cuốn sách về vũ trụ học của Stephen Hawking",9780553380163,1988-04-01,26,,0,,1,19.99,256
sci,universe-in-a-nutshell-2001,Vũ Trụ Trong Vỏ Hạt Dẻ,hawking,"astro",cosmology,"en,vi",Bantam,universe-in-a-nutshell-2001.png,vu-tru-trong-vo-hat-de,true,BOTH,"Một cuốn sách về vũ trụ học của Stephen Hawking",9780553802023,2001-11-06,27,,0,,1,24.99,224
sci,grand-design-2010,Thiết Kế Vĩ Đại,"hawking","astro",cosmology,"en,vi",Bantam,grand-design-2010.png,thiet-ke-vi-dai,true,DIGITAL,"Một cuốn sách về vũ trụ học của Stephen Hawking",9780553805376,2010-09-07,28,,0,,1,21.99,208
sci,brief-answers-2018,Câu Trả Lời Ngắn Gọn Cho Những Câu Hỏi Lớn,hawking,"astro",cosmology,"en,vi",Bantam,brief-answers-2018.png,cau-tra-loi-ngan-gon,true,BOTH,"Một cuốn sách về vũ trụ học của Stephen Hawking",9781984819192,2018-10-16,29,,0,,1,22.99,256
lit,mat-biec-1990,Mắt Biếc,nguyen-nhat-anh,"novel",novel,"vi",NXBTT,mat-biec-1990.png,mat-biec,true,DIGITAL,"Một tiểu thuyết của Nguyễn Nhật Ánh",9786041123456,1990-01-01,22,,0,,1,9.99,300
lit,cho-toi-xin-mot-ve-1995,Cho Tôi Xin Một Vé Đi Tuổi Thơ,nguyen-nhat-anh,"novel",novel,"vi",NXBTT,cho-toi-xin-mot-ve-1995.png,cho-toi-xin-mot-ve-di-tuoi-tho,true,BOTH,"Một tiểu thuyết của Nguyễn Nhật Ánh",9786041126789,1995-01-01,23,,0,,1,14.99,250
lit,yi-tian-tu-long-ji-1980,Ỷ Thiên Đồ Long Ký,jin-yong,"novel",martial-arts,"zh,vi",MingHo,yi-tian-tu-long-ji-1980.png,y-thien-do-long-ky,true,DIGITAL,"Một tiểu thuyết võ hiệp của Kim Dung",9789620405568,1980-01-01,24,,0,,1,29.99,1200
lit,xiao-ao-jiang-hu-1967,Tiếu Ngạo Giang Hồ,jin-yong,"novel",martial-arts,"zh,vi",MingHo,xiao-ao-jiang-hu-1967.png,tieu-ngao-giang-ho,true,BOTH,"Một tiểu thuyết võ hiệp của Kim Dung",9789620405575,1967-01-01,25,,0,,1,34.99,1500
lit,war-and-peace-1869,Chiến Tranh và Hòa Bình,tolstoy,"novel",novel,"ru,vi",Oxford,war-and-peace-1869.png,chien-tranh-va-hoa-binh,true,BOTH,"Một tiểu thuyết của Leo Tolstoy",9780199232765,1869-01-01,48,,0,,1,39.99,1225
lit,the-great-gatsby-1925,The Great Gatsby,fitzgerald,"novel",novel,"en,vi",Scribner,the-great-gatsby-1925.png,the-great-gatsby,true,BOTH,"Một tiểu thuyết của F. Scott Fitzgerald",9780743273565,1925-04-10,49,,0,,1,14.99,180
lit,the-catcher-in-the-rye-1951,The Catcher in the Rye,salinger,"novel",novel,"en,vi",LittleBrown,the-catcher-in-the-rye-1951.png,the-catcher-in-the-rye,true,BOTH,"Một tiểu thuyết của J.D. Salinger",9780316769488,1951-07-16,50,,0,,1,19.99,277
lit,to-kill-a-mockingbird-1960,To Kill a Mockingbird,lee-h,"novel",novel,"en,vi",HarperCollins,to-kill-a-mockingbird-1960.png,to-kill-a-mockingbird,true,BOTH,"Một tiểu thuyết của Harper Lee",9780061120084,1960-07-11,51,,0,,1,18.99,324
lit,one-hundred-years-1985,One Hundred Years of Solitude,marquez,"novel",novel,"es,vi",HarperCollins,one-hundred-years-1985.png,one-hundred-years-of-solitude,true,BOTH,"Một tiểu thuyết của Gabriel Garcia Marquez",9780060883287,1985-05-30,52,,0,,1,24.99,417
iit,math-2021,Toán Học,smith-math,"math",math,"en,vi",Pearson,toan-hoc.png,toan-hoc,true,PRINT,"Một hướng dẫn toàn diện về toán học",9780321902078,2017-01-01,14,,0,,1,79.99,1200
iit,math2000,Giải Tích 1,nguyen-f,"math",math,"vi",NXBKHXH,giai-tich-1.png,giai-tich-1,true,PRINT,"Một cuốn sách về giải tích của Việt Nam",9786040000000,2000-01-01,30,,0,,1,29.99,500
iit,math2005,Đại Số Tuyến Tính,tran-g,"math",math,"vi",NXBKHXH,dai-so-tuyen-tinh.png,dai-so-tuyen-tinh,true,PRINT,"Một cuốn sách về đại số tuyến tính của Việt Nam",9786040000001,2005-01-01,31,,0,,1,34.99,600
iit,math2010,Toán Cao Cấp,le-h,"math",math,"vi",NXBKHXH,toan-cao-cap.png,toan-cao-cap,true,PRINT,"Một cuốn sách về toán cao cấp của Việt Nam",9786040000002,2010-01-01,32,,0,,1,39.99,700
iit,calculus-1997,Giải Tích,stewart,"math",math,"en,vi",Cengage,calculus.png,calculus,true,BOTH,"Một cuốn sách nổi tiếng về giải tích của James Stewart",9780538497817,1997-01-01,35,,0,,1,49.99,1368
iit,linear-algebra-2002,Đại Số Tuyến Tính và Ứng Dụng,lay,"math",math,"en,vi",Pearson,linear-algebra.png,linear-algebra,true,BOTH,"Một cuốn sách nổi tiếng về đại số tuyến tính của David C. Lay",9780321385178,2002-01-01,36,,0,,1,59.99,576
iit,sociology-2021,Xã Hội Học,giddens,"soc",sociology,"en,vi",Pearson,xa-hoi-hoc.png,xa-hoi-hoc,true,PRINT,"Một giới thiệu về xã hội học",9780321912077,2018-01-01,15,,0,,1,69.99,600
iit,psychology-2021,Nhập Môn Tâm Lý Học,myers,"psy",psychology,"en,vi",Worth,nhap-mon-tam-ly-hoc.png,nhap-mon-tam-ly-hoc,true,PRINT,"Một hướng dẫn toàn diện về tâm lý học",9780321922076,2019-01-01,16,,0,,1,69.99,700
iit,cultural-anthropology-2021,Nhân Học Văn Hóa,kottak,"anth",anthropology,"en,vi",McGrawHill,nhan-hoc-van-hoa.png,nhan-hoc-van-hoa,true,PRINT,"Một giới thiệu về nhân học văn hóa",9780321932075,2020-01-01,17,,0,,1,69.99,650
iit,economics-2021,Kinh Tế Học,smith-eco,"eco",economics,"en,vi",Pearson,kinh-te-hoc.png,kinh-te-hoc,true,PRINT,"Một hướng dẫn toàn diện về kinh tế học",9780321942074,2021-01-01,18,,0,,1,79.99,800
iit,microeconomics-2000,Kinh Tế Học Vi Mô,pham-i,"eco",economics,"vi",NXBKHXH,kinh-te-hoc-vi-mo.png,kinh-te-hoc-vi-mo,true,PRINT,"Một cuốn sách về kinh tế học vi mô của Việt Nam",9786040000003,2000-01-01,33,,0,,1,29.99,400
iit,macroeconomics-2005,Kinh Tế Học Vĩ Mô,vo-j,"eco",economics,"vi",NXBKHXH,kinh-te-hoc-vi-mo.png,kinh-te-hoc-vi-mo,true,PRINT,"Một cuốn sách về kinh tế học vĩ mô của Việt Nam",9786040000004,2005-01-01,34,,0,,1,34.99,500
iit,principles-of-economics-1995,Nguyên Lý Kinh Tế Học,mankiw,"eco",economics,"en,vi",Cengage,principles-of-economics.png,principles-of-economics,true,BOTH,"Một cuốn sách nổi tiếng về kinh tế học của N. Gregory Mankiw",9780030982385,1995-01-01,37,,0,,1,69.99,888
iit,economics-samuelson-2008,Kinh Tế Học,"samuelson,nordhaus","eco",economics,"en,vi",McGrawHill,economics.png,economics,true,BOTH,"Một cuốn sách nổi tiếng về kinh tế học của Paul Samuelson và William Nordhaus",9780073511290,2008-01-01,38,,0,,1,79.99,800
iit,political-science-2021,Khoa Học Chính Trị,roskin,"pol",political-science,"en,vi",Pearson,khoa-hoc-chinh-tri.png,khoa-hoc-chinh-tri,true,PRINT,"Một giới thiệu về khoa học chính trị",9780321952073,2022-01-01,19,,0,,1,79.99,750
iit,xia-ke-xing-1963,Hiệp Khách Hành,jin-yong,"novel",martial-arts,"zh,vi",MingHo,hiep-khach-hanh.png,hiep-khach-hanh,true,DIGITAL,"Một tiểu thuyết võ hiệp của Kim Dung",9789620405605,1963-01-01,46,,0,,1,29.99,1100
iit,lu-ding-ji-1965,Lộc Đỉnh Ký,jin-yong,"novel",martial-arts,"zh,vi",MingHo,loc-dinh-ky.png,loc-dinh-ky,true,DIGITAL,"Một tiểu thuyết võ hiệp của Kim Dung",9789620405612,1965-01-01,47,,0,,1,29.99,1400
